,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6
23,0.41281066144890094,0.3805299635201177,0.038322985967858304,0.005981853085010721,0.006868448809598909,0.15548608716851348
24,0.31077871931091305,0.2855256180484479,0.3071799025542257,0.005325514713688108,0.08628043904177003,0.004909806330955183
25,0.30058389407038566,0.018955730565202236,0.6048289661894806,0.012112663051223492,0.00563455854454958,0.05788418757915842
26,0.30719798780016816,0.5259321766121063,0.05546714056627112,0.003925515776957086,0.09706685366193474,0.010410325582562566
27,0.30521670913592575,0.2207187542939315,0.4215322791607331,0.0184243055017403,0.003962242656725267,0.030145709250944126
28,0.5907784994161472,0.04186010337635183,0.011179331640788395,0.14002510444657293,0.20800765838941807,0.008149302730721564
29,0.38392834010614224,0.29816996236613136,0.21753151195363618,0.008865706197900676,0.024213938817897105,0.0672905405582925
30,0.6921443538045513,0.023174565844392387,0.024786152605703753,0.005931494553253574,0.1993042378236262,0.054659195368472774
31,0.3323958818236866,0.11136998292257409,0.35492298080181556,0.0055277865529689075,0.19209528602953646,0.003688081869418408
32,0.3898918384799503,0.555097476618126,0.005953357889885164,0.038307082066527755,0.006329558515567659,0.004420686429943045
33,0.4328823116442485,0.2735485857709129,0.17900531468140135,0.02034838616555318,0.024893639760162907,0.06932176197772116
34,0.4798814719559767,0.2281002023706722,0.09454941044102966,0.004509155568796998,0.12800889602614923,0.06495086363737518
35,0.27435118584524487,0.24263366640203884,0.07638609277288819,0.32827478632948054,0.02988262996675899,0.04847163868358852
36,0.07162524925962215,0.11333314906793344,0.753628666566299,0.01047974219460522,0.01679181820500449,0.03414137470653572
37,0.3751433977336109,0.3768453602270504,0.184230427189785,0.03896900534587628,0.013329507658631902,0.011482301845045487
38,0.22673017214944727,0.18086858211522946,0.1631361535938432,0.049137728319002406,0.08314897580462233,0.2969783880178553
39,0.20451656407879468,0.21553407539788352,0.39714093707852366,0.016947466992393044,0.10408257140838836,0.061778385044016726
40,0.5039331425813194,0.10209251868800535,0.1843706991335198,0.1815941159171145,0.013408956459205585,0.014600567220835392
